topics,number of headlines,total day,start_date,left_margin,end_date,การเมือง,สังคมไทย,เศรษฐกิจ,ต่างประเทศ,บันเทิง,อาชญากรรม,กีฬา,วิทยาศาสตร์,สิ่งแวดล้อม
รัสเซีย-ยูเครน,4324,673,1/4/2022,15,12/31/2023,86,48,446,3587,3,3,59,90,2
โหวตนายก,844,102,1/14/2022,65,10/5/2023,782,41,8,9,0,4,0,0,0
คดีแตงโม-นิดา,1466,202,2/25/2022,275,12/9/2023,46,485,0,0,588,347,0,0,0
ลุงพล-น้องชมพู่-ป้าแต๋น,58,24,3/8/2022,330,12/30/2023,0,26,0,0,2,30,0,0,0
จัดตั้งรัฐบาล,292,105,3/18/2022,380,9/15/2023,250,16,26,0,0,0,0,0,0
ปริญญ์คุกคามทางเพศ,219,46,4/14/2022,515,12/14/2023,119,30,0,0,0,69,1,0,0
อิสราเอล-ปาเลสไตน์,1210,124,4/15/2022,520,12/31/2023,324,155,47,679,0,1,3,1,0
หลวงปู่แสง,82,27,4/21/2022,550,6/27/2023,3,75,0,0,1,3,0,0,0
โตโน่ว่ายน้ำ,119,44,7/30/2022,"1,050.00",5/1/2023,6,33,0,0,79,0,1,0,0
กำนันนก,237,36,9/7/2023,"3,070.00",12/18/2023,18,54,1,0,0,164,0,0,0
